node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
genre_action,0.07457211,-0.05241155,-0.18983223,0.14257541,-0.11700268,-0.025478337,0.10811121,-0.053644594,-0.15484041,-0.09235464,-0.036617097,-0.101171896,-0.1376831,-0.16990279,-0.18925244,-0.02169318,-0.10259373,-0.095467426,0.09715147,-0.1568757,-0.05954486,-0.04102099,0.16100416,-0.19295652,-0.007207243,0.15798,-0.123340264,0.3584246,-0.035429485,0.12025934,0.063520476,0.09102714,-0.13114558,-0.1510065,-0.03513693,0.09290797,0.052506674,0.02905647,-0.055103827,0.1016011,0.0862621,-0.09655187,0.0973073,-0.10708763,0.12661901,-0.08835208,-0.07086497,0.10616909,0.06343474,0.30465648,0.109488755,-0.009666677,-0.016697645,-0.15971296,-0.06895437,-0.10244929,-0.06449464,-0.10336206,-0.04693789,0.17082597,0.14715435,-0.1633917,-0.2634957,0.028333215
genre_adventure,0.14946733,0.0050999695,-0.11602547,0.040655654,-0.28344956,-0.11649685,0.10928283,-0.21370754,-0.068344705,-0.07184372,-0.042253636,0.16323702,-0.15515487,-0.15872748,0.120117545,-0.028281536,0.044869427,-0.015215162,-0.02080604,-0.17926572,0.013275013,0.11849512,0.056263827,-0.12115193,-0.055935297,0.14756224,-0.13404721,0.2308786,-0.074849576,-0.1634156,0.019152703,-0.012207801,-0.25965202,-0.011064248,-0.0068538114,0.07510263,0.022318725,-0.042063653,-0.38040078,-0.019165406,0.101848036,0.020896813,0.13910405,-0.19804135,0.16463575,0.13033849,-0.0452428,0.130738,0.019589527,-0.040539157,-0.17682512,-0.05428862,-0.11019016,-0.1831107,-0.03565608,-0.013048027,-0.08783991,0.037627064,0.011749265,0.03479879,-0.07907887,-0.091295585,-0.15064311,0.1675048
genre_animation,-0.15230207,0.002411542,-0.30303052,0.10431852,-0.16154532,0.066626064,-0.22079189,-0.008928842,0.03706135,-0.11168437,0.078698345,-0.15582119,-0.10785729,-0.18573833,-0.26029986,0.0023734136,0.09487484,-0.07718744,-0.08773492,-0.18850335,0.10605811,0.059308518,-0.040043317,-0.18656723,0.080028005,0.05044342,-0.14078061,-0.012202812,-0.06560243,-3.2592285e-05,0.054847132,0.039128505,-0.0676402,-0.07251155,0.0058032763,-0.080723435,-0.07416244,0.03640163,-0.20845929,-0.18425801,-0.13707611,0.0011864125,0.0476034,-0.26975563,0.13365683,-0.035416402,0.20782696,0.007707404,0.07118275,-0.08801088,0.008982333,-0.13909411,0.07735955,-0.26718074,0.092093065,-0.15641406,-0.10502406,-0.074791916,-0.17572162,0.16067739,-0.012024576,-0.079808354,0.0018353094,0.100892164
genre_childrens,-0.06790086,-0.15312074,-0.27183205,0.048120372,0.03138601,0.012126893,0.055671398,0.12703045,-0.057864252,-0.05387878,0.22720122,-0.016011393,0.020489363,-0.16346891,-0.22678123,0.20395868,-0.009780804,0.10171749,-0.2806664,-0.18159428,0.051821996,0.031656265,0.0002875099,0.055859357,-0.06212515,0.037066333,-0.0025384608,-0.1077276,-0.10553604,0.06103087,0.022943886,0.053441264,-0.114388056,-0.07152173,0.09883283,-0.040690377,-0.057809383,-0.067079596,-0.21870959,-0.15422907,0.071441345,0.13752052,0.061113615,-0.08761852,0.065683104,-0.09495057,0.034004305,0.21650857,0.08657479,-0.04024475,-0.08469681,-0.029065864,-0.13797931,-0.13902639,-0.21785705,0.09204389,-0.12052314,-0.032481946,-0.032320883,0.3172641,0.13132298,-0.07559772,-0.2486418,0.1166337
genre_comedy,0.042228587,-0.09166469,-0.04008755,0.12536034,-0.22768214,0.024076084,-0.121010445,-0.030145299,-0.07576902,-0.1696781,-0.014288485,0.09393015,0.0241372,-0.029654529,-0.011405857,0.24222074,0.02099228,0.03851016,-0.26110643,-0.06494327,0.06479732,0.13798805,0.034675393,-0.0970409,0.05428297,0.10886826,-0.14783885,0.1616899,0.118393034,0.105405994,-0.013647584,0.18830515,-0.13458586,-0.07578009,-0.014375083,-0.15232767,-0.07130791,-0.019592118,-0.24716687,0.15755072,0.07444115,-0.1678321,0.015006447,-0.23721288,0.09589446,0.019074952,-0.0038878063,0.06832235,-0.024522671,-0.032546073,-0.005283404,-0.10484978,0.07370099,-0.2541652,-0.08961068,-0.052599642,-0.038665716,0.047936916,-0.10668009,-0.012672805,0.12308118,-0.23192962,-0.3295623,0.19864415
genre_crime,0.022000566,-0.16169395,-0.09102004,0.040501483,-0.11440055,0.061038982,-0.099147104,-0.018823987,-0.14024307,-0.052383274,0.2827856,0.2512853,0.15272528,0.00016606569,-0.16737182,0.12839927,0.049961492,-0.06126259,0.00039852885,-0.24075826,0.07898149,-0.087691456,-0.04230294,-0.06717488,-0.00073826325,0.03956239,-0.09346865,-0.11402379,-0.047615144,0.1233932,0.1274232,-0.0062297434,-0.33667785,-0.051056456,-0.00980472,-0.11101565,0.16337289,0.06905775,-0.18691942,0.06647233,0.006980911,-0.14788565,-0.01797643,-0.1295328,-0.06304582,-0.1987144,-0.075053126,-0.085771985,0.11181747,0.21872032,-0.027907368,0.043178026,-0.13595398,-0.07717075,0.17138597,0.08352942,0.18003033,-0.02054969,-0.13589053,-0.046658523,0.16792284,-0.13258128,-0.066019125,0.1988202
genre_documentary,-0.019641364,0.117822975,-0.263111,-0.022308307,-0.21684802,-0.08397544,-0.12264421,0.09297998,0.097010545,-0.2802419,-0.039226614,0.15956613,-0.06721708,0.08023383,0.061414436,0.18845141,0.12241854,0.116255604,-0.0731996,0.10551075,0.19216089,0.11520392,-0.08794493,0.07651572,-0.20386419,0.05840077,-0.0057554864,0.14341293,0.20329084,-0.13564627,0.102978334,0.045832604,-0.013549201,-0.14204265,0.004615415,-0.084962696,-0.1079721,-0.061385836,-0.18301883,-0.11771362,-0.010729809,0.13743928,-0.0529241,0.052485038,-0.010760683,-0.12146791,-0.07971115,-0.029391818,0.1475411,0.05818182,-0.17411987,-0.027383206,-0.049498286,0.06873632,0.113030896,-0.050448302,0.14347409,-0.061456606,-0.14353298,0.06420502,-0.030710617,-0.3536482,-0.1881135,0.0069349315
genre_drama,-0.048047286,-0.15369812,-0.13171816,0.057708297,-0.16489248,-0.07025854,-0.05648522,-0.20146638,-0.22792444,-0.21299465,0.025712835,0.035573687,-0.017202396,0.0140890675,-0.03347397,0.033137277,0.010109016,-0.18457924,-0.087217815,-0.18194035,0.18231614,-0.08743149,-0.04723181,-0.045271542,-0.03228638,0.17173946,-0.07361539,0.02306157,0.17473593,-0.0063267024,-0.027136398,0.039210953,-0.25505272,-0.11492919,-0.1043553,-0.07893349,0.06217695,-0.019233128,-0.30952787,0.06513436,0.01452838,-0.007217729,0.038109507,0.022497483,-0.051718734,0.041321114,0.05865067,0.097993225,0.11119761,0.15243492,0.0102921035,-0.026685111,0.17454292,-0.19130623,-0.08665532,0.06334408,-0.33353502,-0.13332543,-0.21585917,-0.0846564,0.033763774,-0.09748418,-0.061731145,0.2336525
genre_fantasy,0.13191865,-0.042160295,-0.0548722,0.16357188,0.1228751,0.05111708,-0.22135709,-0.26157743,-0.16662718,-0.08566462,-0.10897849,-0.05133467,0.042441946,-0.19431527,-0.28119949,0.039095066,0.07325233,0.1195315,-0.26505235,-0.29666606,-0.012082659,0.10203686,0.09931744,0.0027260315,0.0437475,0.0604938,-0.14012288,0.2135101,-0.039862122,-0.03811811,0.04734683,0.032500476,-0.14519857,-0.046018213,-0.06379642,0.017304957,0.008990559,-0.010599742,-0.041559927,-0.07189996,-0.030027095,0.01909549,0.059219457,-0.10684093,0.17968248,0.21175604,0.12901193,0.14777796,0.063164584,0.110096216,0.10846206,-0.117204696,-0.074680775,-0.04718659,-0.18119797,0.042207405,0.08616395,-0.066558294,0.017799927,-0.124972485,-0.003090353,-0.19691466,-0.057508122,0.22426777
genre_film_noir,0.03500536,-0.07490181,-0.23099321,-0.012213474,0.0384213,0.11323212,-0.2856837,0.10064816,0.027463384,-0.013694851,0.10394681,0.26432875,0.04592828,-0.18963504,-0.09467626,-0.016570995,0.010103145,-0.14705464,-0.22625016,-0.10254128,-0.050381865,0.07551299,-0.07732967,-0.059001423,0.0044590794,0.21007077,-0.097951554,0.085350305,0.08671116,-0.10027497,0.0215753,-0.05259824,-0.21111543,0.021179767,0.04448796,-0.17708446,0.16457036,0.18963794,-0.062596045,0.2120643,0.023687044,-0.22742401,-0.065734126,-0.046003003,0.037449993,-0.10524485,-0.20693846,0.025853807,-0.11764221,0.08746323,0.10580841,-0.05376842,-0.14932446,-0.06552716,0.12485098,0.16882707,0.15859766,-0.12752044,-0.09552417,0.14745013,-0.12086131,0.046256304,0.12102662,0.08249363
